Re,Gr,Ha,Rm,Navg,avgA
600,15000,1,10,6.60751347315894,-0.503136874444036
700,15000,1,10,7.32519585395968,-0.502106125871564
800,15000,1,10,7.99300834667058,-0.501238492621855
900,15000,1,10,8.6243560908839,-0.500489515272646
1000,15000,1,10,9.22566645987245,-0.499832227286545
10,20000,1,10,1.00720124375966,-0.502350301925417
35,20000,1,10,1.08183883936701,-0.502872074413907
60,20000,1,10,1.20913307742059,-0.503770859655293
85,20000,1,10,1.35295380003012,-0.504713035950309
125,20000,1,10,1.59330425499486,-0.506013260133584
250,20000,1,10,2.71660068825009,-0.508740643920747
375,20000,1,10,4.3955606884397,-0.5068096026623
500,20000,1,10,5.68475925012052,-0.50459421342182
550,20000,1,10,6.11478920994996,-0.503888986038957
600,20000,1,10,6.51549517698353,-0.503262095451836
700,20000,1,10,7.25525917342448,-0.502188435247061
800,20000,1,10,7.93712234321261,-0.50129406886897
900,20000,1,10,8.5767797806309,-0.500531049879725
1000,20000,1,10,9.18277717126581,-0.499867090848045
10,25000,1,10,1.00629170116895,-0.501400619444314
35,25000,1,10,1.07204314501137,-0.501890815092529
60,25000,1,10,1.18669867312925,-0.502760679898516
85,25000,1,10,1.31868225099396,-0.503707600288792
125,25000,1,10,1.53761760516759,-0.505038861985576
250,25000,1,10,2.48973455756583,-0.508533169050444
375,25000,1,10,4.12019531543092,-0.507259308212857
500,25000,1,10,5.53908225050263,-0.504825106285158
550,25000,1,10,5.99645677211074,-0.504066333393707
600,25000,1,10,6.41652400584395,-0.503401468366266
700,25000,1,10,7.18307453893946,-0.502273308134124
800,25000,1,10,7.87990034931249,-0.501351017844083
900,25000,1,10,8.52877073770979,-0.500572351658242
1000,25000,1,10,9.14120699509241,-0.499898349004277
10,30000,1,10,1.00563405579964,-0.500608927161107
35,30000,1,10,1.06486303092466,-0.501070049587365
60,30000,1,10,1.16992981430951,-0.501906175918257
85,30000,1,10,1.29287346002233,-0.502842145586287
125,30000,1,10,1.49647553875335,-0.50417156907302
250,30000,1,10,2.33531024216412,-0.508099538535899
375,30000,1,10,3.82920570648836,-0.507715380211556
500,30000,1,10,5.37636383251795,-0.505092046726505
550,30000,1,10,5.86657353996898,-0.504267900614419
600,30000,1,10,6.31021374951704,-0.503555084910142
700,30000,1,10,7.1063911548759,-0.502367289569306
800,30000,1,10,7.81997727951593,-0.50141301605997
900,30000,1,10,8.47906154015504,-0.500616430947296
1000,30000,1,10,9.09835156705037,-0.499931409040109
10,35000,1,10,1.00513323066643,-0.499937774542972
35,35000,1,10,1.05933629458632,-0.500372795009311
60,35000,1,10,1.15680357033434,-0.501174808611137
85,35000,1,10,1.27249116247639,-0.502093219029917
125,35000,1,10,1.4642255213061,-0.503407742976857
250,35000,1,10,2.22392908596373,-0.507529354634072
375,35000,1,10,3.55354711149173,-0.508097649619033
500,35000,1,10,5.19504265508002,-0.505398612175922
550,35000,1,10,5.72403245434566,-0.504495883105011
600,35000,1,10,6.19476415658908,-0.503728013104482
700,35000,1,10,7.02485331514992,-0.502471288329624
800,35000,1,10,7.75721321889637,-0.501480511498058
900,35000,1,10,8.42771624925568,-0.500663104281954
1000,35000,1,10,9.05421392920224,-0.499966348114177
10,40000,1,10,1.00473766097703,-0.499360747498407
35,40000,1,10,1.05493336674318,-0.499772457365638
60,40000,1,10,1.14619670563032,-0.500541638708387
85,40000,1,10,1.25588203817258,-0.501439903844408
125,40000,1,10,1.43801509735538,-0.502734701494709
250,40000,1,10,2.13838536443654,-0.506890101934473
375,40000,1,10,3.31752614954318,-0.508344855194571
500,40000,1,10,4.99465961321759,-0.505745981913865
550,40000,1,10,5.56712193446499,-0.504754892183862
600,40000,1,10,6.06895126318664,-0.503923404844732
700,40000,1,10,6.93812205679542,-0.502586084190097
800,40000,1,10,7.69146608188483,-0.501553954506593
900,40000,1,10,8.37446163514618,-0.500713257426445
1000,40000,1,10,9.00883301551757,-0.500003158118385
10,45000,1,10,1.00441652252755,-0.498858666670168
35,45000,1,10,1.05133357006319,-0.49924951688897
60,45000,1,10,1.13741859980969,-0.499987736379383
85,45000,1,10,1.24203067950396,-0.500865054431846
125,45000,1,10,1.41618988543668,-0.502139013117664
250,45000,1,10,2.06937691564414,-0.506229223048438
375,45000,1,10,3.12640265853039,-0.508442725562898
500,45000,1,10,4.77757155354794,-0.506128173666687
550,45000,1,10,5.39503695309785,-0.505046972821992
600,45000,1,10,5.93196513208935,-0.50414299024788
700,45000,1,10,6.84569192069793,-0.502712957875768
800,45000,1,10,7.62263576609929,-0.501633593724909
900,45000,1,10,8.31934412671179,-0.50076682400704
1000,45000,1,10,8.96235228262231,-0.500041467954003
10,50000,1,10,1.00415010437171,-0.498417261440213
35,50000,1,10,1.04832933322699,-0.498789383764887
60,50000,1,10,1.1300155241583,-0.499498658069603
85,50000,1,10,1.23026553259682,-0.500354925110119
125,50000,1,10,1.39768473979871,-0.501608717791227
250,50000,1,10,2.01176138513546,-0.505577453300424
375,50000,1,10,2.97323858357032,-0.508406408731807
500,50000,1,10,4.55047198203552,-0.506527939747277
550,50000,1,10,5.20779661143441,-0.5053724564694
600,50000,1,10,5.78374619281801,-0.504386137807084
700,50000,1,10,6.7470873103782,-0.50285298442142
800,50000,1,10,7.55074238677834,-0.501719125748024
900,50000,1,10,8.26252614900339,-0.500823208018601
1000,50000,1,10,8.91476691976862,-0.500081300064976
10,55000,1,10,1.00392515334529,-0.498025689582592
35,55000,1,10,1.04577977826543,-0.498380893910551
60,55000,1,10,1.12367481496152,-0.499063213949856
85,55000,1,10,1.22012080830468,-0.49989870561996
125,55000,1,10,1.38176585266727,-0.50113369286393
250,55000,1,10,1.96256152969639,-0.504953046312651
375,55000,1,10,2.84871710447428,-0.50825858424813
500,55000,1,10,4.32389698419167,-0.506918123226294
550,55000,1,10,5.00764423417165,-0.505725869431562
600,55000,1,10,5.62319049772345,-0.504656362097625
700,55000,1,10,6.64174409613611,-0.503007470993385
800,55000,1,10,7.4752865617237,-0.50181210905732
900,55000,1,10,8.20365930248354,-0.500883622511343
1000,55000,1,10,8.86605051572047,-0.500122746875886
10,60000,1,10,1.00373241105952,-0.497675563412499
35,60000,1,10,1.04358557231794,-0.498015426140752
60,60000,1,10,1.11817316679397,-0.498672631762681
85,60000,1,10,1.21126172472513,-0.499487768066217
125,60000,1,10,1.36790165960195,-0.500705462550145
250,60000,1,10,1.91989192466775,-0.504365085768967
375,60000,1,10,2.74518224048301,-0.508021550582531
500,60000,1,10,4.1090019533634,-0.507269796996035
550,60000,1,10,4.79936390950103,-0.506095401430327
600,60000,1,10,5.45036133396318,-0.50495395146571
700,60000,1,10,6.52908125335025,-0.503177736904295
800,60000,1,10,7.39601684767028,-0.501913127234208
900,60000,1,10,8.14260276185491,-0.500948563320062
1000,60000,1,10,8.8158962960157,-0.500167008992504
10,65000,1,10,1.00356520118712,-0.497360290675254
35,65000,1,10,1.04167461956073,-0.497686167408245
60,65000,1,10,1.113346607181,-0.498319995408467
85,65000,1,10,1.2034420574612,-0.499115350162623
125,65000,1,10,1.35569514556137,-0.500317028329202
250,65000,1,10,1.88251917731558,-0.503817548746521
375,65000,1,10,2.65717593780324,-0.507716074076914
500,65000,1,10,3.91411075366395,-0.507560491142772
550,65000,1,10,4.59016040352697,-0.506463013532999
600,65000,1,10,5.26671874522722,-0.505275675591215
700,65000,1,10,6.40840520175083,-0.503365520541855
800,65000,1,10,7.31263948242262,-0.502022830077189
900,65000,1,10,8.0792663212541,-0.501018262710913
1000,65000,1,10,8.764279159813,-0.500214309124406
10,70000,1,10,1.00341858778588,-0.497074617401689
35,70000,1,10,1.0399932354088,-0.497387699682618
60,70000,1,10,1.10907176205277,-0.497999712348233
85,70000,1,10,1.19647524543465,-0.498775882999188
125,70000,1,10,1.34484320247418,-0.499962605703128
250,70000,1,10,1.8495166599856,-0.503310527935502
375,70000,1,10,2.58088045517535,-0.507360822237954
500,70000,1,10,3.74231275856405,-0.507780280879147
550,70000,1,10,4.38821190320807,-0.506807843503874
600,70000,1,10,5.07549263016293,-0.505613879590773
700,70000,1,10,6.2793152715196,-0.50357162273669
800,70000,1,10,7.22485676747791,-0.502141797770445
900,70000,1,10,8.01355249628907,-0.501092892340704
1000,70000,1,10,8.71123453250224,-0.50026453371555
10,75000,1,10,1.00328884056942,-0.496814303872856
35,75000,1,10,1.03850067610659,-0.497115613649298
60,75000,1,10,1.10525404244109,-0.497707261215275
85,75000,1,10,1.19021803506272,-0.498464875884621
125,75000,1,10,1.33511055491735,-0.499637380752615
250,75000,1,10,1.82019961220375,-0.502842600836994
375,75000,1,10,2.51374940891174,-0.506972438503646
500,75000,1,10,3.59293044106728,-0.507928130694526
550,75000,1,10,4.20014274835024,-0.507112521187591
600,75000,1,10,4.88163008440933,-0.505956573137012
700,75000,1,10,6.14152944302164,-0.503796703002062
800,75000,1,10,7.1322869596707,-0.502270871518173
900,75000,1,10,7.94528787055507,-0.50117286030748
1000,75000,1,10,8.65670123742026,-0.500317882992072
10,80000,1,10,1.00317308700774,-0.496575890543129
35,80000,1,10,1.03716534216015,-0.496866349160652
60,80000,1,10,1.10181963580388,-0.497438961951721
85,80000,1,10,1.18455834840924,-0.498178635763495
125,80000,1,10,1.32631397219801,-0.499337468977324
250,80000,1,10,1.79401813903886,-0.502411307690551
375,80000,1,10,2.45396084362152,-0.506564574340524
500,80000,1,10,3.46302835018007,-0.508008558044165
550,80000,1,10,4.02963851587555,-0.507366396073012
600,80000,1,10,4.69088966511428,-0.50628966166827
700,80000,1,10,5.99522008578569,-0.50404030144514
800,80000,1,10,7.03459838708208,-0.502410661465118
900,80000,1,10,7.87432602209956,-0.501258393754687
1000,80000,1,10,8.60064238091816,-0.500374387407311
10,85000,1,10,1.00306907775924,-0.496356526018894
35,85000,1,10,1.03596247018496,-0.496636928817785
60,85000,1,10,1.09871007917772,-0.497191718031884
85,85000,1,10,1.17940717945375,-0.497914096151167
125,85000,1,10,1.31830726041927,-0.499059562774544
250,85000,1,10,1.77052400110372,-0.502013795613914
375,85000,1,10,2.40022116528403,-0.506148012796199
500,85000,1,10,3.34951627086305,-0.508027323012799
550,85000,1,10,3.87749122516122,-0.507565424220562
600,85000,1,10,4.50870947200189,-0.50659945253304
700,85000,1,10,5.84094858410906,-0.50430128075566
800,85000,1,10,6.93130967551561,-0.50256234245985
900,85000,1,10,7.80045141894971,-0.501349948622961
1000,85000,1,10,8.54296342908376,-0.500434275027258
10,90000,1,10,1.00297502936663,-0.496153838695214
35,90000,1,10,1.03487223896316,-0.496424913630025
60,90000,1,10,1.09587846720686,-0.496962965320699
85,90000,1,10,1.17469297013092,-0.4976687194382
125,90000,1,10,1.31097473478299,-0.498801012884953
250,90000,1,10,1.74935159524431,-0.501647209755666
375,90000,1,10,2.35156441917196,-0.505730720058541
500,90000,1,10,3.24921848241382,-0.507991094849625
550,90000,1,10,3.74268847252283,-0.507709762598306
600,90000,1,10,4.33913576627809,-0.506875124001115
700,90000,1,10,5.67992467802118,-0.504577107280274
800,90000,1,10,6.82216390931064,-0.502726287505781
900,90000,1,10,7.72348030834344,-0.501447793483186
1000,90000,1,10,8.48357737990346,-0.500497691108151
10,95000,1,10,1.00288950438633,-0.495965841094799
35,95000,1,10,1.0338787100134,-0.496228227904013
60,95000,1,10,1.09328670288507,-0.49675054525793
85,95000,1,10,1.1703572268748,-0.497440273945898
125,95000,1,10,1.30422261571887,-0.498559575982162
250,95000,1,10,1.73018547530668,-0.501308644211619
375,95000,1,10,2.30726834933279,-0.505318453018391
500,95000,1,10,3.15983303696288,-0.507906222993187
550,95000,1,10,3.62305546544504,-0.507802555180679
600,95000,1,10,4.18414170630954,-0.507110528072159
700,95000,1,10,5.51460075865846,-0.50486195403837
800,95000,1,10,6.70675144739308,-0.502903551646727
900,95000,1,10,7.64316505672969,-0.501552421928166
1000,95000,1,10,8.42238466275137,-0.500564790812723
10,100000,1,10,1.00281133615032,-0.495790849746915
35,100000,1,10,1.03296887978359,-0.496045116771657
60,100000,1,10,1.09090345350852,-0.496552656605276
85,100000,1,10,1.1663520755247,-0.497227008946247
125,100000,1,10,1.29797441584233,-0.498333363047863
250,100000,1,10,1.7127649464668,-0.500995447906824
375,100000,1,10,2.26675782261963,-0.504915070693742
500,100000,1,10,3.07933646115604,-0.507779178036044
550,100000,1,10,3.51627499708913,-0.507847660068521
600,100000,1,10,4.04393139271784,-0.507303474018158
700,100000,1,10,5.3466117461829,-0.505153392583888
800,100000,1,10,6.58492102287845,-0.503094436399355
900,100000,1,10,7.55919345991601,-0.50166455674661
1000,100000,1,10,8.35925416992931,-0.500635832746787
10,100,25,10,1.01946022591912,-0.496867936278546
35,100,25,10,1.21571700670517,-0.496873196346167
60,100,25,10,1.54029943272725,-0.496867063299777
85,100,25,10,1.90919780209048,-0.496849536093863
125,100,25,10,2.50429464274796,-0.496799937149289
250,100,25,10,4.18894302243584,-0.496519990309213
375,100,25,10,5.72676334300157,-0.496112312540129
500,100,25,10,7.20473343340259,-0.495582509437533
550,100,25,10,7.77554657264331,-0.495334379975291
600,100,25,10,8.33450097201938,-0.495065406703509
700,100,25,10,9.42341053234353,-0.494464143104539
800,100,25,10,10.4803430027773,-0.493795332204317
900,100,25,10,11.5106352624528,-0.493089715069766
1000,100,25,10,12.5146878721541,-0.492379283825399
10,350,25,10,1.01889216940625,-0.496856015256762
35,350,25,10,1.21021511313561,-0.496864148381556
60,350,25,10,1.52917435022871,-0.496861759128799
85,350,25,10,1.89426431967214,-0.496847052054434
125,350,25,10,2.48660828333501,-0.496799823232
250,350,25,10,4.17210397250425,-0.496521127358168
375,350,25,10,5.71247993924376,-0.49611346300698
500,350,25,10,7.19249508359149,-0.495583771512043
550,350,25,10,7.76402265413083,-0.495335686507398
600,350,25,10,8.32364859770062,-0.495066742035809
700,350,25,10,9.41378618955364,-0.494465475949343
800,350,25,10,10.4717892235346,-0.493796581654706
900,350,25,10,11.5030233444748,-0.493090798824316
1000,350,25,10,12.5079351930364,-0.492380105764421
10,600,25,10,1.0183535167866,-0.49684410823846
35,600,25,10,1.20494156932727,-0.496855022745834
60,600,25,10,1.5183659482919,-0.496856357487628
85,600,25,10,1.87959749618393,-0.496844519013009
125,600,25,10,2.46904431977109,-0.496799738560362
250,600,25,10,4.15516964457437,-0.496522341423024
375,600,25,10,5.69807785744844,-0.496114674049041
500,600,25,10,7.18016855911394,-0.495585070822912
550,600,25,10,7.75243554115844,-0.495337003330038
600,600,25,10,8.3127219727592,-0.495068107218236
700,600,25,10,9.40409976517149,-0.494466833384421
800,600,25,10,10.4632001286447,-0.493797815999943
900,600,25,10,11.4953842804495,-0.493091864032894
1000,600,25,10,12.5011476335462,-0.492380940439584
10,850,25,10,1.01784225259707,-0.49683221686055
35,850,25,10,1.19988565968419,-0.496845824368544
60,850,25,10,1.50786873368462,-0.496850855540159
85,850,25,10,1.86520031241184,-0.496841930316107
125,850,25,10,2.45160290168936,-0.496799684500724
250,850,25,10,4.13814274799997,-0.496523631714976
375,850,25,10,5.68358325345753,-0.49611593038962
500,850,25,10,7.16775369487037,-0.495586407606356
550,850,25,10,7.7407494579931,-0.49533837637868
600,850,25,10,8.30174176741585,-0.495069470566402
700,850,25,10,9.39435097380352,-0.494468215604839
800,850,25,10,10.4545431657136,-0.493799106041017
900,850,25,10,11.4877024950059,-0.4930929457144
1000,850,25,10,12.4943250115777,-0.492381787947573
10,1500,25,10,1.01662832357475,-0.496801382700977
35,1500,25,10,1.18768559410822,-0.496821584482204
60,1500,25,10,1.48198826264343,-0.496836066725624
85,1500,25,10,1.82904400885849,-0.496834897045491
125,1500,25,10,2.40690123104624,-0.496799626185045
250,1500,25,10,4.09344810959244,-0.496527344609649
375,1500,25,10,5.64538576617066,-0.496119458789995
500,1500,25,10,7.13506626170718,-0.495590054577139
550,1500,25,10,7.70999121252465,-0.495342095011971
600,1500,25,10,8.27279684427169,-0.49507322761315
700,1500,25,10,9.36869884458215,-0.494471948639131
800,1500,25,10,10.4318135935192,-0.493802507393644
900,1500,25,10,11.467510336531,-0.493095877530055
1000,1500,25,10,12.4764179536824,-0.492384059003031
10,2000,25,10,1.01579456730049,-0.496777756549006
35,2000,25,10,1.17914918288337,-0.496802648455067
60,2000,25,10,1.46341086041851,-0.496824207570496
85,2000,25,10,1.80249532939488,-0.496829140610836
125,2000,25,10,2.37321654326913,-0.496799604747541
250,2000,25,10,4.05869834751818,-0.496530530407935
375,2000,25,10,5.61552757139125,-0.496122417368372
500,2000,25,10,7.10950957434739,-0.495593040205531
550,2000,25,10,7.68596683226269,-0.495345096651345
600,2000,25,10,8.25017863655279,-0.495076269051788
700,2000,25,10,9.34868411123794,-0.494474920325474
800,2000,25,10,10.4140701547889,-0.493805257969937
900,2000,25,10,11.4517770551643,-0.493098212967452
1000,2000,25,10,12.4624813599305,-0.492385861335443
10,3000,25,10,1.01434397176683,-0.496730778637738
35,3000,25,10,1.1639999253813,-0.496764123639879
60,3000,25,10,1.42948328997769,-0.496799227042466
85,3000,25,10,1.75268196286999,-0.496816576630706
125,3000,25,10,2.30789705395537,-0.496799419101447
250,3000,25,10,3.98833828388163,-0.496537728848961
